[I 2026-07-17 12:07:29,063] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:12:49,894] Trial 42 finished with value: -0.06643516927682387 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.008489217495072454, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0014266656860781551, 'reg_lambda': 3.328678342148514e-05, 'gamma': 7.514672395485047e-05}. Best is trial 37 with value: -0.0934697926675258.
[I 2026-07-17 12:13:05,325] Trial 43 finished with value: -0.07707385430391187 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.007518130128428232, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.001309625932436736, 'reg_lambda': 3.2126955405614937e-05, 'gamma': 0.00015669557740809393}. Best is trial 37 with value: -0.0934697926675258.
[I 2026-07-17 12:13:08,866] Trial 44 finished with value: -0.057028896520759195 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.006846573562071903, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.001824930054805795, 'reg_lambda': 3.8942256464230916e-05, 'gamma': 0.15925639532421032}. Best is trial 37 with value: -0.0934697926675258.
[I 2026-07-17 12:13:17,970] Trial 45 finished with value: -0.0991666977460236 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.04121864810345504, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 5.904576362018279e-06, 'reg_lambda': 3.0527467953606014e-05, 'gamma': 2.9427448322423474e-06}. Best is trial 45 with value: -0.0991666977460236.
[I 2026-07-17 12:13:25,149] Trial 46 finished with value: -0.08448604920552362 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.03480224574847649, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 5.689737635474068e-06, 'reg_lambda': 3.671122314098378e-05, 'gamma': 1.740061094381116e-06}. Best is trial 45 with value: -0.0991666977460236.
[I 2026-07-17 12:13:29,393] Trial 47 finished with value: -0.07121118088219205 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.03263227695344189, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.739498115522201e-06, 'reg_lambda': 3.327669505110448e-05, 'gamma': 0.114282390459786}. Best is trial 45 with value: -0.0991666977460236.
[I 2026-07-17 12:13:36,413] Trial 48 finished with value: -0.08405026753212289 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.02836998287151523, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0008848001657304429, 'reg_lambda': 0.00010902124402947897, 'gamma': 3.133009712193192e-06}. Best is trial 45 with value: -0.0991666977460236.
[I 2026-07-17 12:13:43,026] Trial 49 finished with value: -0.08475845100375651 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.042678068337674825, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 7.161095255517512e-06, 'reg_lambda': 0.00013627670156692777, 'gamma': 2.9315967481011185e-06}. Best is trial 45 with value: -0.0991666977460236.
[I 2026-07-17 12:13:49,287] Trial 50 finished with value: -0.08488682001182377 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.029969571663292945, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 7.188741344315809e-06, 'reg_lambda': 0.00011632139093689782, 'gamma': 9.47238275307625e-06}. Best is trial 45 with value: -0.0991666977460236.
[I 2026-07-17 12:13:55,884] Trial 51 finished with value: -0.08479960974744571 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1450, 'learning_rate': 0.030412488050182325, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 7.074740549688776e-06, 'reg_lambda': 7.999023484345187e-05, 'gamma': 3.789813407010021e-06}. Best is trial 45 with value: -0.0991666977460236.
[I 2026-07-17 12:14:02,091] Trial 52 finished with value: -0.08815366915997833 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.04319943943054884, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 5.474846576302586e-06, 'reg_lambda': 3.931824413700556e-06, 'gamma': 2.7622683260530703e-06}. Best is trial 45 with value: -0.0991666977460236.
[I 2026-07-17 12:14:08,520] Trial 53 finished with value: -0.08816875921100092 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1450, 'learning_rate': 0.037251798086058954, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 2.1584679584833985e-06, 'reg_lambda': 4.584478433895049e-06, 'gamma': 1.8934976214216643e-06}. Best is trial 45 with value: -0.0991666977460236.
