[I 2026-07-17 11:47:39,713] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:54:49,369] Trial 43 finished with value: -2.2485612656838083 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.3068905432053614, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0019928533322630423, 'reg_lambda': 0.0013022027186968264, 'gamma': 0.002054447569089034}. Best is trial 43 with value: -2.2485612656838083.
[I 2026-07-17 11:55:08,491] Trial 44 finished with value: -2.2030251758378365 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1100, 'learning_rate': 0.31055077865445735, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0017175944619948055, 'reg_lambda': 0.0011698682221351966, 'gamma': 0.0012717606102038714}. Best is trial 43 with value: -2.2485612656838083.
[I 2026-07-17 11:55:26,075] Trial 45 finished with value: -2.705023211804429 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.4719322189119914, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0013888836386786398, 'reg_lambda': 0.0014249074750177931, 'gamma': 0.001532290261592925}. Best is trial 45 with value: -2.705023211804429.
[I 2026-07-17 11:55:35,401] Trial 46 finished with value: -2.2514607832832447 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.47607126207390366, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.001529189398665765, 'reg_lambda': 0.001194999351667706, 'gamma': 0.0012947162216893377}. Best is trial 45 with value: -2.705023211804429.
[I 2026-07-17 11:56:00,213] Trial 47 finished with value: -3.229615301737351 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.498416239419663, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0977102261603348, 'reg_lambda': 9.534191422184977e-05, 'gamma': 0.0015905507569675395}. Best is trial 47 with value: -3.229615301737351.
[I 2026-07-17 11:56:14,069] Trial 48 finished with value: -2.533470722712747 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.4933370754900887, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.04992441904736895, 'reg_lambda': 0.0011341556982119633, 'gamma': 0.002078497857250515}. Best is trial 47 with value: -3.229615301737351.
[I 2026-07-17 11:56:27,776] Trial 49 finished with value: -2.4293212888079947 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.44624650963399304, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.05289536568049716, 'reg_lambda': 7.648611704504298e-05, 'gamma': 0.0015985426342733494}. Best is trial 47 with value: -3.229615301737351.
[I 2026-07-17 11:56:40,096] Trial 50 finished with value: -2.402955603102389 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.4481378597680926, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.07383985776180922, 'reg_lambda': 0.0021621200289383903, 'gamma': 0.08892602940662492}. Best is trial 47 with value: -3.229615301737351.
[I 2026-07-17 11:57:05,032] Trial 51 finished with value: -1.817697324706426 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.09124888268609695, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.10210932961699277, 'reg_lambda': 0.0015128536724111862, 'gamma': 0.08278868292395193}. Best is trial 47 with value: -3.229615301737351.
[I 2026-07-17 11:57:26,571] Trial 52 finished with value: -2.864956396607675 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.48580497580533955, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.07994586386580732, 'reg_lambda': 0.00015856001544132105, 'gamma': 0.04060627887448643}. Best is trial 47 with value: -3.229615301737351.
