[I 2026-07-17 16:08:51,444] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:14:57,789] Trial 42 finished with value: -0.9034318934561456 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.023582348740638127, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1573225653672032, 'reg_lambda': 0.42138478091974135, 'gamma': 0.02082035110918776}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:15:13,977] Trial 43 finished with value: -1.2440957048239354 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.11080623146083698, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.2288212527071434, 'reg_lambda': 0.7030381002679581, 'gamma': 0.023439591029086673}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:15:29,859] Trial 44 finished with value: -1.1922748005793382 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1950, 'learning_rate': 0.11709337663987453, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.21509526788142794, 'reg_lambda': 0.5664619641134363, 'gamma': 0.02858172094053856}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:15:38,757] Trial 45 finished with value: -1.1481689146667646 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.09982856083517794, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.047878462944604884, 'reg_lambda': 8.553416974036598, 'gamma': 0.09972506986228291}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:15:42,933] Trial 46 finished with value: -0.7213892138938115 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1650, 'learning_rate': 0.10361373149820184, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.03856895266344226, 'reg_lambda': 9.453481668798265, 'gamma': 0.14014215248664022}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:15:46,332] Trial 47 finished with value: -0.6966771031496815 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.11086857051695946, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.04374473825128538, 'reg_lambda': 17.42628379494178, 'gamma': 0.1289621459325336}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:15:53,811] Trial 48 finished with value: -0.9346244735340167 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1800, 'learning_rate': 0.11048588312735333, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.030799002964624563, 'reg_lambda': 0.4643330061004052, 'gamma': 0.1181001838025377}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:16:02,111] Trial 49 finished with value: -1.0199803704440218 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.11210587983449956, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.02849089580865295, 'reg_lambda': 7.296183483928074, 'gamma': 0.06947177612724147}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:16:05,114] Trial 50 finished with value: -0.6593338908979177 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.11132287854489034, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.4337149751486764, 'reg_lambda': 6.895865209908772, 'gamma': 0.13920731462814623}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:16:11,378] Trial 51 finished with value: -0.86447144743782 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.09542478134661767, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0336568735342965, 'reg_lambda': 3.6951938951310885, 'gamma': 0.1119998945483395}. Best is trial 36 with value: -1.6171808901494555.
[I 2026-07-17 16:16:19,996] Trial 52 finished with value: -1.7072470575295295 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.4867277235748328, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0505461963994664, 'reg_lambda': 5.203759303318309, 'gamma': 0.10417864318036123}. Best is trial 52 with value: -1.7072470575295295.
[I 2026-07-17 16:16:25,498] Trial 53 finished with value: -1.2284724994313265 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.3976038777937659, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00369416689991237, 'reg_lambda': 0.03795795228804496, 'gamma': 0.16187409869781}. Best is trial 52 with value: -1.7072470575295295.
[I 2026-07-17 16:16:28,649] Trial 54 finished with value: -0.4790436275935275 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.43610335862314514, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.004451327663471752, 'reg_lambda': 0.05117335864722143, 'gamma': 0.47043298866039096}. Best is trial 52 with value: -1.7072470575295295.
