YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,F160,e_F160,F250,e_F250,F350,e_F350,F500,e_F500,F870,e_F870,F1100,e_F1100,DIST,N8,N12,N24,N70,f_MULTI,f_CEXT
3316,1.274440559,1986.922024,9485.787889,4.774111804,14.4,71.8,48.39,0.33,1.3106,0.0858,0.4279,0.2103,1.1937,0.1088,25.9466,0.1196,33.256,0.034910994,52.366,0.048409275,23.072,0.039831832,8.838,0.052387416,,,,,8.61,5,5,5,5,1,0
3317,0.288,40.176,117.936,2.935483871,16,33.2,33.56,0.14,,,0.0457,0.1739,0.0949,0.0922,1.6669,0.1657,9.171,0.080362009,6.656,0.1114783629488486,2.716,0.07511045,2.199,0.05547977,,,,,3.6,5,5,5,5,0,0
3318,0.1552,3.01088,252.91392,84,26.9,28.1,54.25,0.03,0.3159,0.0212,0.1158,0.1279,0.5036,0.0431,5.5125,0.0704,4.449,0.020004496,2.664,0.031156155,0.527,0.05502846,,,,,,,3.88,5,5,5,5,0,0
3319,1.080871935,216.3097387,189.8660054,0.877750611,12.8,17.8,35.19,0.05,0.0521,0.4258,0.0215,0.3859,0.042,0.2345,0.4619,0.1216,1.975,0.029367088,5.308,0.1000376823888116,1.852,0.09773218,0.747,0.10977243,,,,,8.44,5,5,5,5,1,0
3320,0.3276,27.82416,9.27472,0.333333333,12.2,7.4,18.91,0.06,,,0.0021,0.9363,0.0031,1.2594,0.0679,0.7667,0.665,0.096240606,1.992,0.031626507,1.006,0.031809144,0.498,0.03815261,,,,,3.64,5,5,5,5,0,0
3322,0.146,34.6385,704.76025,20.34615385,21.9,121.2,45.87,0.4,0.4068,0.3004,0.1313,0.248,0.4346,0.3915,18.0951,0.0971,25.108,0.035685838,23.935,0.028869855,5.89,0.02886248,2.137,0.038839493,,,,,3.65,5,5,5,5,1,0
3323,0.227,48.43726,592.06821,12.22340426,17.8,8.1,53.29,0.23,0.9975,0.1509,0.2817,0.403,2.966,0.1325,36.4901,0.098,41.897,0.031529703,31.538,0.037002982,13.719,0.030104235,6.182,0.040439986,,,,,2.27,5,5,5,5,1,0
3324,1.6305,189.05104,791.65123,4.1875,17.7,40,36.24,0.02,,,0.064,0.4779,0.0751,0.3789,1.1631,0.1523,5.685,0.1252418667366343,7.024,0.057659453,2.094,0.04011461,1.222,0.06710311,,,,,10.87,5,5,5,5,0,0
3325,0.549,52.24284,80.3736,1.538461538,14.3,23.3,36.38,0.05,0.0836,0.3648,0.0445,0.292,0.0557,0.3526,0.9324,0.2447,4.234,0.085498344,7.41,0.046423753,2.999,0.08736245,1.318,0.054628223,,,,,3.66,5,5,5,5,1,0
3326,0.201567568,41.00257414,61.63444266,1.503184713,13.8,25.3,40.17,0.27,0.1613,0.5837,0.0618,0.4005,0.2327,0.2391,2.6519,0.2965,7.89,0.042205324,13.058,0.03867361,5.726,0.036849458,2.612,0.0356049,,,,,2.26,5,5,5,5,1,0
3327,0.212837838,11.94439372,111.7152118,9.352941176,20,66.1,38.15,0.07,0.6387,0.1601,0.2534,0.2607,0.413,0.1678,8.1645,0.1712,18.211,0.046235792,11.122,0.041449379,4.514,0.045857333,1.856,0.044719826,,,,,2.25,5,5,5,5,0,0
3328,0.546860304,61.42948488,422.7668708,6.882149047,19.5,51.3,37.94,0.05,0.2029,0.4372,0.0746,0.4073,0.1294,0.3469,1.5481,0.3181,6.6,0.06560606,5.846,0.037119397,2,0.027,0.837,0.05734767,,,,,7.46,5,5,5,5,1,0
3329,0.741747344,270.2718658,561.8439679,2.078810409,15,28,36.84,0.13,0.1259,0.7303,0.0403,1.1396,0.0759,0.8338,1.4039,0.8051,6.166,0.065520599,7.637,0.048317401,3.205,0.049921997,1.648,0.05582524,,,,,8.49,5,5,5,5,1,0
3330,1.389972452,262.8120089,131.1970919,0.499205087,13.2,9.5,20.38,0.04,0.0536,0.3301,0.0233,0.7872,0.0309,0.4468,,,3.505,0.1332382332751482,9.083,0.117031814,2.742,0.07768052,1.75,0.12171429,,,,,7.42,5,5,5,5,0,0
3331,0.536875,93.24601639,2096.873425,22.48753894,21,143.1,51.44,0.09,0.5678,0.0754,0.2554,0.0417,0.6743,0.0535,8.7215,0.0529,11.673,0.026985351,8.817,0.029601906,2.692,0.027117385,1.091,0.15123741,,,,,8.59,5,5,5,5,0,0
3332,0.966793349,1132.607423,5738.036524,5.066218362,14.9,70.2,50.83,0.32,0.923,0.3003,0.3485,0.3446,0.9876,0.2161,25.7408,0.1841,19.582,0.053467473,31.268,0.026192913,11.677,0.045131456,5.763,0.04442131,,,,,8.66,5,5,5,5,1,0
3333,0.552359882,129.8511725,2704.039476,20.82414369,19.7,151,48.76,0.11,0.9103,0.1375,0.3463,0.2969,0.7664,0.1279,19.5127,0.0384,16.071,0.018729388,13.331,0.023929188,4.145,0.02291918,1.734,0.030565167,,,,,7.49,5,5,5,2,0,0
3334,0.571792657,442.8751839,1509.194788,3.407720376,16.1,39,40.17,0.36,0.5383,0.5073,0.1982,0.5345,0.3815,0.413,7.457,0.3574,13.956,0.056534822,14.937,0.04318136,6.862,0.09239289,2.544,0.07232705,,,,,8.54,5,5,5,5,1,0
3336,0.939482353,1568.998962,2682.815121,1.709889672,13.1,33.1,46.84,0.47,0.4792,0.239,0.1255,0.3354,0.3815,0.2826,9.4142,0.0707,14.251,0.028208547,24.92,0.066934189,14.251,0.033822186,3.067,0.16726443,,,,,8.68,5,5,5,5,1,0
3337,0.561255116,126.0029221,4470.292098,35.47768595,22.1,206.6,49.38,0.11,0.8389,0.1887,0.3472,0.1389,1.1075,0.0469,27.305,0.08,25.658,0.024202977,17.289,0.026201632,5.363,0.020324444,2.121,0.028760018,,,,,7.48,5,5,5,5,0,0
