[I 2026-07-17 11:47:12,344] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:52:02,045] Trial 45 finished with value: -1.6036399866234947 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.00023445631854898585, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.32491062127308046, 'reg_lambda': 0.778892665241301, 'gamma': 22.301661939018384}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:03,923] Trial 46 finished with value: -1.6094807179340744 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.00020939914769699835, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.5274976222349336, 'reg_lambda': 0.5750339513492033, 'gamma': 22.988497306946748}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:06,786] Trial 47 finished with value: -1.4846491632493812 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.0009799625710248889, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.38661550180788856, 'reg_lambda': 0.7724090718948032, 'gamma': 19.555145598693414}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:08,124] Trial 48 finished with value: -1.5115353827356062 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.000835546146315806, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.33326079135847825, 'reg_lambda': 0.7081842000849503, 'gamma': 26.1978915182598}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:09,347] Trial 49 finished with value: -1.5217723364684457 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.001383429567926779, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.2564724735079937, 'reg_lambda': 13.20683991197045, 'gamma': 28.42140841755747}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:11,332] Trial 50 finished with value: -1.4539648489930097 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.0013864225352565275, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.374425246972332, 'reg_lambda': 1.0832631822209469, 'gamma': 18.383840093878355}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:16,891] Trial 51 finished with value: -1.6324829873806752 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.0001607827117857832, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0015604027640986457, 'reg_lambda': 13.844148323290208, 'gamma': 0.07487387123436066}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:18,588] Trial 52 finished with value: -1.5338269744652082 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.0009093949944229387, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 10.822838999346537, 'reg_lambda': 15.005950308406085, 'gamma': 20.412039909484694}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:20,706] Trial 53 finished with value: -1.4906067809730104 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.0010663543413168273, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.002260971755125813, 'reg_lambda': 15.65313700588497, 'gamma': 19.33634888103985}. Best is trial 18 with value: -1.6547131891890032.
[I 2026-07-17 11:52:21,426] Trial 54 finished with value: -1.5785308028715315 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.0008416244959765147, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 6.858446787870607, 'reg_lambda': 17.002283919081055, 'gamma': 1.421519294257078}. Best is trial 18 with value: -1.6547131891890032.
