[I 2026-07-17 15:49:23,814] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:52:29,447] Trial 43 finished with value: -0.34485666127413445 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.029203494202302685, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1786213543948869, 'reg_lambda': 22.757500621173197, 'gamma': 0.007937078065995433}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:52:39,046] Trial 44 finished with value: -0.3241520494771451 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.029718569153022335, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.17773273835538947, 'reg_lambda': 91.11763428530149, 'gamma': 0.012698963715879264}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:52:47,180] Trial 45 finished with value: -0.25963427585269927 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.005933965229497793, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.1889337819331844, 'reg_lambda': 0.0019699713169883124, 'gamma': 0.01543328135709256}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:52:53,174] Trial 46 finished with value: -0.298560939812417 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.03138235005814887, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0009136313772821486, 'reg_lambda': 0.001005737598088673, 'gamma': 0.015892052059397636}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:52:59,303] Trial 47 finished with value: -0.30275354317498804 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.03239803670807591, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0010640228087072014, 'reg_lambda': 0.0018398464838072644, 'gamma': 0.011728522929218103}. Best is trial 28 with value: -0.5266907191157403.
[I 2026-07-17 15:53:07,774] Trial 48 finished with value: -0.6261024456984204 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.2668448824772692, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0014195134680972778, 'reg_lambda': 0.002221992088894158, 'gamma': 6.347368785883212e-06}. Best is trial 48 with value: -0.6261024456984204.
[I 2026-07-17 15:53:15,656] Trial 49 finished with value: -0.5415648472476302 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.2564584731771172, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0012678833551859928, 'reg_lambda': 0.0009809795023579544, 'gamma': 7.452536712606988e-06}. Best is trial 48 with value: -0.6261024456984204.
[I 2026-07-17 15:53:25,946] Trial 50 finished with value: -0.5491951044833919 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.275167155056655, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0007566289446164068, 'reg_lambda': 4.6872979434995355e-05, 'gamma': 8.055877000728429e-06}. Best is trial 48 with value: -0.6261024456984204.
[I 2026-07-17 15:53:34,536] Trial 51 finished with value: -0.524249518703031 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.2650783657165114, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0012369826929684163, 'reg_lambda': 0.0025928742204965683, 'gamma': 7.736502873735227e-06}. Best is trial 48 with value: -0.6261024456984204.
[I 2026-07-17 15:53:42,836] Trial 52 finished with value: -0.5091535054683004 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.25519405774846593, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0007580561051187858, 'reg_lambda': 0.0018752489945977337, 'gamma': 1.000219149400246e-05}. Best is trial 48 with value: -0.6261024456984204.
[I 2026-07-17 15:53:50,857] Trial 53 finished with value: -0.6367693595806169 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2300, 'learning_rate': 0.2508573164551159, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 2.2017636521660046e-06, 'reg_lambda': 3.237913831490952e-05, 'gamma': 7.583551602656541e-06}. Best is trial 53 with value: -0.6367693595806169.
