[I 2026-07-17 11:29:48,288] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:34:58,550] Trial 42 finished with value: -0.3088661834161405 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.0004504586298695556, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0014311395036850304, 'reg_lambda': 1.142154290745846e-05, 'gamma': 0.00035559372763673106}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:02,241] Trial 43 finished with value: -0.31495857974101527 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.0004598987198133559, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.001235287783383229, 'reg_lambda': 1.1825387360282911e-05, 'gamma': 0.00024797856666350495}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:07,928] Trial 44 finished with value: -0.3075663397112291 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.00048159750033460925, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0012891138753372557, 'reg_lambda': 2.631023092019806e-05, 'gamma': 8.355174647450295e-05}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:09,678] Trial 45 finished with value: -0.31690389146122194 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0004674819713970277, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0018005468654058525, 'reg_lambda': 1.1559318532679597e-05, 'gamma': 0.00016731879558713853}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:11,199] Trial 46 finished with value: -0.31647964270016105 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.0005622618409160669, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0020239472375564696, 'reg_lambda': 2.0201592916198135e-05, 'gamma': 0.000385531468093257}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:12,689] Trial 47 finished with value: -0.3123003353190345 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.000704893163909125, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0022628496040678083, 'reg_lambda': 2.7695744609615897e-05, 'gamma': 0.0001830957771720325}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:13,393] Trial 48 finished with value: -0.3203691273808309 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.0007845245973498709, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 57.97671601533765, 'reg_lambda': 0.006828684484040577, 'gamma': 5.49622205800868}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:14,341] Trial 49 finished with value: -0.32835700674715873 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.0001803157785625261, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0015760576683133641, 'reg_lambda': 0.007356843570642371, 'gamma': 3.7948523970135883}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:14,978] Trial 50 finished with value: -0.31787774736476737 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0009381812574716809, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 35.780719350299606, 'reg_lambda': 0.007611725262438863, 'gamma': 6.298119697757375}. Best is trial 27 with value: -0.3323364943821495.
[I 2026-07-17 11:35:15,798] Trial 51 finished with value: -0.3141922972160692 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0007834699796111061, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001442868558798614, 'reg_lambda': 0.00691760568414098, 'gamma': 3.970348998109626}. Best is trial 27 with value: -0.3323364943821495.
