YB,F8,F12,F24,F70
607.0,0.3202,0.0716,0.0888,7.705
608.0,1.4428,0.5447,1.3524,35.2956
609.0,8.8792,0.5688,4.0863,4.6673
610.0,0.202,0.0627,0.0945,2.9791
611.0,7.9065,1.0034,,123.9592
612.0,0.0805,0.0079,0.1105,1.6029
613.0,0.0635,0.0269,0.0951,1.5631
614.0,1.0291,0.1189,1.3828,19.4434
615.0,0.1264,0.0659,0.142,1.3009
616.0,28.3547,,,1308.337
617.0,0.101,0.0474,0.0652,0.8011
618.0,0.7209,0.221,0.6617,7.3351
619.0,,,,0.2302
620.0,,0.0108,0.0361,0.4306
621.0,,0.0279,0.0263,0.2857
622.0,0.535,0.1619,0.3133,7.4268
623.0,0.5164,0.1279,0.2575,11.1811
624.0,3.5791,0.9202,,0.6579
625.0,0.1076,0.0761,0.2593,2.1934
626.0,0.2934,0.0699,0.5113,11.1407
627.0,0.0767,0.0872,0.5972,2.1688
628.0,,0.0126,,10.584
629.0,0.32,0.0292,0.2211,4.6637
630.0,,0.0228,0.2854,2.6205
631.0,0.6116,0.1497,2.3194,31.0454
632.0,,0.0384,0.3864,2.4026
633.0,0.1445,0.021,0.0888,1.9686
634.0,0.4509,0.1518,1.1586,24.1058
635.0,0.0612,0.014,0.0744,1.8118
636.0,0.0827,0.0301,0.0508,1.0078
637.0,0.1854,0.1098,1.211,
638.0,0.0628,0.0154,0.0506,
639.0,0.1901,0.0503,0.1524,2.5369
640.0,0.1462,0.0076,,3.3713
641.0,6.222,,,197.8247
642.0,0.2319,0.0225,0.0969,3.9249
