YB,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,N8,N12,N24,N70,f_SAT,f_MULTI,f_NOSRC,f_PCONF,f_CEXT
209.0,0.9019,0.3029,0.2547,0.5659,1.8687,0.3596,39.4501,0.2012,5,5,5,5,0000,0,0000,0000,0
210.0,0.3477,0.0655,0.0574,0.3197,0.3899,0.1488,5.7485,0.2767,5,5,5,5,0000,0,0000,0000,0
211.0,3.4504,0.4275,1.2984,0.481,4.8218,0.4582,45.0682,0.3475,5,5,5,5,0000,0,0000,0000,0
212.0,2.4078,0.2294,0.9708,0.4282,6.8496,0.3479,87.0639,0.1846,5,5,5,5,0000,0,0000,0000,0
213.0,,0.5102,,,,,,0.3367,5,0,0,5,0110,0,0000,1001,0
214.0,,0.7803,0.0784,0.7871,0.1786,0.6981,8.5699,0.4252,5,5,5,5,0000,0,0000,1000,0
215.0,0.1388,0.8906,0.0444,0.517,0.1635,0.3701,5.4819,0.2502,5,5,5,5,0000,0,0000,0000,0
216.0,,0.7862,0.2982,0.3815,4.4015,0.2945,,1.2455,5,5,5,5,0000,0,0000,1001,0
217.0,0.0976,0.6862,0.0058,0.4375,0.1096,0.296,1.1063,0.1957,5,5,5,5,0000,0,0000,0000,0
218.0,,1.4765,0.1227,0.4935,3.1647,0.5427,1.1737,1.9205,5,5,5,5,0000,0,0000,1000,0
219.0,,0.1785,0.1502,0.3369,,,59.9011,2.1808,5,5,0,5,0010,0,1000,1000,0
220.0,10.1389,0.1659,,,,,266.1639,0.162,5,0,0,5,0110,0,0000,0000,0
221.0,4.0317,0.3159,,,,,171.6575,0.2551,5,0,0,5,0110,0,0000,0000,0
222.0,2.5343,0.3943,,,,,72.946,0.2699,5,0,0,5,0110,1,0000,0000,0
223.0,0.1156,0.3841,0.0685,0.6547,0.1022,0.4709,5.0467,0.4144,5,5,5,5,0000,0,0000,0000,0
