[I 2026-07-14 16:55:56,109] A new study created in RDB with name: my-study
[I 2026-07-14 17:01:05,299] Trial 42 finished with value: -0.7068865668492793 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.09928132267407416, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0396884348038279e-06, 'reg_lambda': 0.0030706629837327494, 'gamma': 25.24149879645553}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:13,745] Trial 43 finished with value: -0.6407384893556157 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.0028638800153087487, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.04468737088339673, 'reg_lambda': 0.00242761801089798, 'gamma': 1.1127276664566101}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:17,158] Trial 44 finished with value: -0.7126164681636636 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.0033692138926084505, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.04353739926636487, 'reg_lambda': 0.0017511285729819278, 'gamma': 24.66476690226005}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:21,273] Trial 45 finished with value: -0.7127477316800059 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.003831583554359624, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.04887683594739317, 'reg_lambda': 0.001947983593820412, 'gamma': 25.16213728225799}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:25,940] Trial 46 finished with value: -0.7060597971267166 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.0033256928787015125, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0032396233194693035, 'reg_lambda': 0.0022700748120998517, 'gamma': 25.799490360664677}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:30,519] Trial 47 finished with value: -0.7025390593837171 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.12344447922912226, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0028390559517079477, 'reg_lambda': 0.00207466255805851, 'gamma': 28.139286280360295}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:34,913] Trial 48 finished with value: -0.6949233613390139 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.03176513312692033, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0023078514233802754, 'reg_lambda': 0.003187407278411216, 'gamma': 22.19361364364854}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:39,296] Trial 49 finished with value: -0.6956630932890409 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.11039216871538624, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00275979047915819, 'reg_lambda': 0.0022074177841414143, 'gamma': 23.464734199024615}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:43,629] Trial 50 finished with value: -0.704427587811579 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.03561385878895206, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.003595226543185447, 'reg_lambda': 0.001395402793825357, 'gamma': 26.049375419892332}. Best is trial 21 with value: -0.7913973345232271.
[I 2026-07-14 17:01:47,576] Trial 51 finished with value: -0.702783977558349 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.030404295609822378, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0025528583959825374, 'reg_lambda': 0.0011516228802785663, 'gamma': 25.70597469333207}. Best is trial 21 with value: -0.7913973345232271.
