[I 2026-07-14 18:23:30,307] A new study created in RDB with name: my-study
[I 2026-07-14 18:26:38,997] Trial 42 finished with value: -0.13583041874987337 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.4957212729804207, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.2783283714891153, 'reg_lambda': 0.004703690916976268, 'gamma': 0.005481782005929731}. Best is trial 42 with value: -0.13583041874987337.
[I 2026-07-14 18:26:40,836] Trial 43 finished with value: -0.11735604534508332 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.4930016309511367, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.004332475706227042, 'reg_lambda': 0.003116345887116283, 'gamma': 0.007395551595228468}. Best is trial 42 with value: -0.13583041874987337.
[I 2026-07-14 18:26:43,403] Trial 44 finished with value: -0.10507781708102999 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.48939833867326504, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.003938402129432106, 'reg_lambda': 0.004193958249183175, 'gamma': 0.0064624226956918685}. Best is trial 42 with value: -0.13583041874987337.
[I 2026-07-14 18:26:45,369] Trial 45 finished with value: -0.09500322606735812 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.40842076537788424, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.005212899642741007, 'reg_lambda': 0.023528205296496234, 'gamma': 0.014920630164616637}. Best is trial 42 with value: -0.13583041874987337.
[I 2026-07-14 18:26:47,389] Trial 46 finished with value: -0.1023564309239859 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.43781163124972095, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.005355830819593276, 'reg_lambda': 0.01343842726254187, 'gamma': 0.0058258835390057485}. Best is trial 42 with value: -0.13583041874987337.
[I 2026-07-14 18:26:58,343] Trial 47 finished with value: -0.14915604335153118 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.4761682147244964, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0038824460558249756, 'reg_lambda': 0.016145790441275946, 'gamma': 0.004152433730541629}. Best is trial 47 with value: -0.14915604335153118.
[I 2026-07-14 18:27:00,502] Trial 48 finished with value: -0.1000981536453348 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.48279265517716957, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0037690299089974074, 'reg_lambda': 0.022823502343276483, 'gamma': 0.005826766909590685}. Best is trial 47 with value: -0.14915604335153118.
[I 2026-07-14 18:27:03,665] Trial 49 finished with value: -0.1103484229219304 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.481779699935272, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.003976810819942341, 'reg_lambda': 0.023542676691597264, 'gamma': 0.01798652782986026}. Best is trial 47 with value: -0.14915604335153118.
[I 2026-07-14 18:27:05,673] Trial 50 finished with value: -0.12146215099844457 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.4982412740179259, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.3957789811199608, 'reg_lambda': 0.01096035228748682, 'gamma': 0.007981740860610473}. Best is trial 47 with value: -0.14915604335153118.
[I 2026-07-14 18:27:07,085] Trial 51 finished with value: -0.12125673935759294 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.49937953318271566, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 2.2720400797008997, 'reg_lambda': 0.0006518019236200007, 'gamma': 0.009789453595443335}. Best is trial 47 with value: -0.14915604335153118.
[I 2026-07-14 18:27:08,101] Trial 52 finished with value: -0.07828045324607602 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.21452352995569107, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.5675680062665656, 'reg_lambda': 0.0007368665710856078, 'gamma': 0.041569808349804366}. Best is trial 47 with value: -0.14915604335153118.
[I 2026-07-14 18:27:09,672] Trial 53 finished with value: -0.08618504152095781 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.2114726340424812, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1200734218718469, 'reg_lambda': 0.0006192930717343863, 'gamma': 0.02612479573288689}. Best is trial 47 with value: -0.14915604335153118.
[I 2026-07-14 18:27:10,797] Trial 54 finished with value: -0.08171418521606136 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.2058886697602915, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.3545419154011034, 'reg_lambda': 0.0009127701598320693, 'gamma': 0.02943893084632854}. Best is trial 47 with value: -0.14915604335153118.
