[I 2026-07-14 21:25:48,924] A new study created in RDB with name: my-study
[I 2026-07-14 21:30:08,261] Trial 42 finished with value: -0.689308084978574 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.4897963341669796, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 5.757484298138657e-06, 'reg_lambda': 0.0005135061153960416, 'gamma': 0.09287322824307896}. Best is trial 42 with value: -0.689308084978574.
[I 2026-07-14 21:30:16,999] Trial 43 finished with value: -0.4249248788532397 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.04090250381574673, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 9.58160957830457e-06, 'reg_lambda': 2.6463871574014908, 'gamma': 0.1001970829080165}. Best is trial 42 with value: -0.689308084978574.
[I 2026-07-14 21:30:19,730] Trial 44 finished with value: -0.2794370815641857 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.49226955338009687, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 2.5899942760744163e-05, 'reg_lambda': 5.689300007409301, 'gamma': 0.1665532056878443}. Best is trial 42 with value: -0.689308084978574.
[I 2026-07-14 21:30:23,203] Trial 45 finished with value: -0.3810141506425982 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.49237831155310474, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.2651690845506234e-05, 'reg_lambda': 0.00011734928381229409, 'gamma': 0.14764980519904383}. Best is trial 42 with value: -0.689308084978574.
[I 2026-07-14 21:30:25,882] Trial 46 finished with value: -0.244153190898913 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.37276340647268785, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 2.189752834942722e-05, 'reg_lambda': 0.00014201200397832422, 'gamma': 2.349700710762527}. Best is trial 42 with value: -0.689308084978574.
[I 2026-07-14 21:30:35,821] Trial 47 finished with value: -0.7939197046722941 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.4834916165682791, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 2.06146033699763e-05, 'reg_lambda': 0.0001514160915743886, 'gamma': 0.002597536508622886}. Best is trial 47 with value: -0.7939197046722941.
[I 2026-07-14 21:30:45,314] Trial 48 finished with value: -0.7805479145245923 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.4188101092617926, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 2.1660877085025474e-05, 'reg_lambda': 5.0488855387034616e-05, 'gamma': 0.0022743386046942195}. Best is trial 47 with value: -0.7939197046722941.
[I 2026-07-14 21:30:59,470] Trial 49 finished with value: -1.1509330008745553 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.4865293620700889, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.8379806596768175e-05, 'reg_lambda': 9.695158358508172e-05, 'gamma': 0.003259685701848659}. Best is trial 49 with value: -1.1509330008745553.
[I 2026-07-14 21:31:02,044] Trial 50 finished with value: -0.24128341908760492 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.4922100356843286, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 2.4996861395847242e-05, 'reg_lambda': 0.00013059945351591242, 'gamma': 1.2731358626761655}. Best is trial 49 with value: -1.1509330008745553.
[I 2026-07-14 21:31:04,677] Trial 51 finished with value: -0.2413222683557798 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.45522913668662235, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0004518205152128882, 'reg_lambda': 5.888964721899252e-05, 'gamma': 1.592617013762685}. Best is trial 49 with value: -1.1509330008745553.
