[I 2026-07-14 18:31:07,096] A new study created in RDB with name: my-study
[I 2026-07-14 18:42:05,648] Trial 42 finished with value: -0.1494941976229561 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.1698221569594833, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00010879174344593239, 'reg_lambda': 7.649048395173679, 'gamma': 0.0002252012098351897}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:42:24,611] Trial 43 finished with value: -0.08839799139323412 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.030572384368698823, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 8.107033813157415e-05, 'reg_lambda': 0.08171029873473262, 'gamma': 0.00011668728462564155}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:42:43,653] Trial 44 finished with value: -0.09200226939414445 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.03706609381860929, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 4.459576107864827e-06, 'reg_lambda': 0.06592948193283471, 'gamma': 5.93418262265054e-05}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:43:07,403] Trial 45 finished with value: -0.14788020580652608 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.21195119320445832, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 3.666398032276475e-06, 'reg_lambda': 0.08986287070140736, 'gamma': 0.001161621779551583}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:43:17,720] Trial 46 finished with value: -0.05809434282152086 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.00010175709387961993, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 4.641247528867493e-06, 'reg_lambda': 0.08174485729415484, 'gamma': 0.0007123128071368622}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:43:28,513] Trial 47 finished with value: -0.23173309127710107 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.4938268478234682, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 3.576460923236899e-06, 'reg_lambda': 0.06247877557056296, 'gamma': 0.0010392453893345237}. Best is trial 26 with value: -0.27811133071608823.
[I 2026-07-14 18:43:41,232] Trial 48 finished with value: -0.30855204109870404 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.4752534454223729, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 3.354196389174836e-06, 'reg_lambda': 0.11959357172280488, 'gamma': 4.067759124937757e-06}. Best is trial 48 with value: -0.30855204109870404.
[I 2026-07-14 18:43:53,217] Trial 49 finished with value: -0.32045244627929304 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.48897492460975533, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 4.0412444480074774e-06, 'reg_lambda': 0.0538297511903361, 'gamma': 2.5245436263297637e-06}. Best is trial 49 with value: -0.32045244627929304.
[I 2026-07-14 18:44:05,774] Trial 50 finished with value: -0.2884231451738657 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.4860588531584414, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 3.858205316243943e-06, 'reg_lambda': 0.058016871299034406, 'gamma': 3.264341230561919e-06}. Best is trial 49 with value: -0.32045244627929304.
[I 2026-07-14 18:44:18,489] Trial 51 finished with value: -0.27631790954169566 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.4792443262481289, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 4.1212808303707285e-06, 'reg_lambda': 0.006503091258028482, 'gamma': 3.570055709599897e-06}. Best is trial 49 with value: -0.32045244627929304.
[I 2026-07-14 18:44:31,029] Trial 52 finished with value: -0.285529087001217 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.48603875664421925, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 3.898790519838558e-06, 'reg_lambda': 0.004236344617276118, 'gamma': 3.291754583478498e-06}. Best is trial 49 with value: -0.32045244627929304.
