[I 2026-07-14 16:32:32,199] A new study created in RDB with name: my-study
[I 2026-07-14 16:36:47,306] Trial 43 finished with value: -0.306429852198223 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.0003959583689838971, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.007153255391826839, 'reg_lambda': 0.041613057710334175, 'gamma': 0.019416229641095663}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:36:54,908] Trial 44 finished with value: -0.3591517353819258 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.00034187091114905863, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00765457661283125, 'reg_lambda': 0.0740048997447503, 'gamma': 0.011334596595472642}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:02,244] Trial 45 finished with value: -0.35869690650675523 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.00034810686086977547, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0013271516639383138, 'reg_lambda': 0.0707846463170381, 'gamma': 0.037641939594946446}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:10,340] Trial 46 finished with value: -0.35854330892898106 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.00034938266330129797, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.008467565584114371, 'reg_lambda': 0.06599105566535406, 'gamma': 0.023771465481185403}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:15,607] Trial 47 finished with value: -0.36325526697208055 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0002916812656418406, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0023352945528830544, 'reg_lambda': 0.04297046377883945, 'gamma': 0.01346235786446071}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:21,340] Trial 48 finished with value: -0.37321532943197955 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.0002731030400403519, 'max_depth': 11, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.002421844930577781, 'reg_lambda': 0.002367858058089325, 'gamma': 0.00022728851418222555}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:25,326] Trial 49 finished with value: -0.3715795737588969 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.00024677308994723536, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.2565478997557215, 'reg_lambda': 0.0022828285718500645, 'gamma': 0.00020925688724641325}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:29,943] Trial 50 finished with value: -0.36638018837339725 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0002704611102193934, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.2752671573531578, 'reg_lambda': 2.1915230170046633e-05, 'gamma': 0.0002927602040265534}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:34,578] Trial 51 finished with value: -0.3687701264768194 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 350, 'learning_rate': 0.00024515465274969255, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.3302341944245625, 'reg_lambda': 1.6060201031395207e-05, 'gamma': 0.00027050136828783315}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:38,665] Trial 52 finished with value: -0.37057443944900936 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.0002612187891004577, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.24000634856126316, 'reg_lambda': 2.013638551428622e-05, 'gamma': 0.0001900799508736338}. Best is trial 24 with value: -0.38803344028462017.
[I 2026-07-14 16:37:41,810] Trial 53 finished with value: -0.3810857846676235 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 250, 'learning_rate': 0.0001498435772144063, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.22761595378704955, 'reg_lambda': 1.1339767403685927e-05, 'gamma': 0.00020426966550131994}. Best is trial 24 with value: -0.38803344028462017.
