[I 2026-07-14 20:18:22,564] A new study created in RDB with name: my-study
[I 2026-07-14 20:28:10,470] Trial 43 finished with value: -0.07920703807135383 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.22770224061399946, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0026981229233184237, 'reg_lambda': 96.53604655962792, 'gamma': 0.003211586817079045}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:28:42,721] Trial 44 finished with value: -0.07589831495540203 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.22432007581936525, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.002268045453934418, 'reg_lambda': 7.808397480270601, 'gamma': 2.470689867499138e-05}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:29:11,776] Trial 45 finished with value: -0.07487437642046343 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.20642218280001573, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00889973181732104, 'reg_lambda': 82.65635831187038, 'gamma': 2.234648960088101e-05}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:29:38,918] Trial 46 finished with value: -0.06215034176166814 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.21245099905721382, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.015894717977514457, 'reg_lambda': 0.0001425360600220007, 'gamma': 0.009891170740268226}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:29:57,931] Trial 47 finished with value: -0.04839968838936875 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.09405504318259973, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.9581617346343773e-06, 'reg_lambda': 70.3186299838126, 'gamma': 0.00952561786699614}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:29:58,600] Trial 48 finished with value: -0.027358059020148272 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.1936200350426056, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0036727179290924976, 'reg_lambda': 75.63169931856166, 'gamma': 0.1115407057222881}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:30:09,585] Trial 49 finished with value: -0.026848868810314355 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2750, 'learning_rate': 0.10062480431073177, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.006623047460565835, 'reg_lambda': 93.61904037492766, 'gamma': 0.061428159632408885}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:30:27,347] Trial 50 finished with value: -0.0554107185007086 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.09961252256102933, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.012672837642588225, 'reg_lambda': 21.207769177154233, 'gamma': 0.034867078967264105}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:30:37,729] Trial 51 finished with value: -0.026610970527128693 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.10701939750820903, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.008962741960705085, 'reg_lambda': 95.12694359474477, 'gamma': 0.06271373821283222}. Best is trial 43 with value: -0.07920703807135383.
[I 2026-07-14 20:30:48,522] Trial 52 finished with value: -0.0280931773324313 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2700, 'learning_rate': 0.0996991572726048, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.015316129375063717, 'reg_lambda': 82.3036973954326, 'gamma': 0.05008040530010359}. Best is trial 43 with value: -0.07920703807135383.
