[I 2026-07-14 19:51:29,261] A new study created in RDB with name: my-study
[I 2026-07-14 19:57:29,671] Trial 42 finished with value: -0.026301055820642318 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.201279364468887, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 77.5984658537838, 'reg_lambda': 0.3523233339918507, 'gamma': 0.00024943246588703084}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:30,766] Trial 43 finished with value: -0.02633196402538644 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.22308090259645386, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 84.82345869224899, 'reg_lambda': 0.34197416918807644, 'gamma': 5.861961506070391e-06}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:31,943] Trial 44 finished with value: -0.026334039239629875 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.2487575407163662, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 97.84760501200138, 'reg_lambda': 0.7098823728805014, 'gamma': 73.54301755646665}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:34,463] Trial 45 finished with value: -0.026346297552768086 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.2424653513593953, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 80.23672756211027, 'reg_lambda': 0.2828860733809241, 'gamma': 78.15675581044145}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:35,510] Trial 46 finished with value: -0.026327413209831903 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.046712497122604606, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 65.0656965848989, 'reg_lambda': 0.35266360614462045, 'gamma': 5.415633135684907e-06}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:48,669] Trial 47 finished with value: -0.038482503528913664 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.04344803745472004, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.06955322924365676, 'reg_lambda': 0.5954483383841528, 'gamma': 7.143413779974326e-06}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:51,369] Trial 48 finished with value: -0.0263309935227651 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.271033239275156, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.06377719076199655, 'reg_lambda': 0.48165415342178325, 'gamma': 77.93327651355202}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:51,885] Trial 49 finished with value: -0.026327425818018526 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 950, 'learning_rate': 0.06462193378100044, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 86.20366766870741, 'reg_lambda': 0.41966163557354313, 'gamma': 8.087718131203945e-06}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:55,729] Trial 50 finished with value: -0.03748253112611036 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.06337683970803507, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.10634430725503392, 'reg_lambda': 93.50854333006212, 'gamma': 6.129826547772826e-06}. Best is trial 32 with value: -0.06781896034622135.
[I 2026-07-14 19:57:58,341] Trial 51 finished with value: -0.026320069052579644 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.06990992963575549, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.07960512838631702, 'reg_lambda': 94.70529033815389, 'gamma': 47.95210809983167}. Best is trial 32 with value: -0.06781896034622135.
